                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                  1.218,                0.66115,                 1.0936,                0.10093,                0.97015,                0.93013,                0.49495,                 1.4895,                0.88724,                 2.0025,               0.006436,               0.006436,               0.006436
                     38,                 0.7031,                 1.0004,                 1.3188,                0.02962,                0.91674,                0.41189,                 0.2859,                 1.1294,                 2.1608,                 1.8264,               0.006337,               0.006337,               0.006337
                     38,                 1.2026,                0.65788,                 1.1054,                0.15892,                0.97015,                0.91992,                0.46105,                 1.4847,                0.92044,                 1.9643,               0.006337,               0.006337,               0.006337
                     39,                0.70692,                 0.9754,                  1.313,                0.03043,                0.92848,                0.33671,                0.23805,                 1.0984,                 2.0942,                 1.8109,               0.006238,               0.006238,               0.006238
                     39,                  1.196,                0.64428,                 1.0787,                0.19695,                0.96269,                0.91407,                0.47423,                  1.446,                0.90479,                 1.9679,               0.006238,               0.006238,               0.006238
                     40,                0.68814,                0.96681,                 1.2999,                0.03825,                0.92118,                0.40477,                0.28502,                 1.0879,                 2.2253,                 1.8113,               0.006139,               0.006139,               0.006139
                     40,                 1.1918,                0.65022,                 1.0962,                0.09773,                0.96269,                0.89018,                0.44143,                 1.5485,                0.92422,                 2.0269,               0.006139,               0.006139,               0.006139
                     41,                0.69411,                0.93454,                 1.3062,                0.03258,                 0.9224,                0.39145,                0.28599,                 1.0603,                 2.1303,                 1.8123,                0.00604,                0.00604,                0.00604
                     41,                 1.1762,                 0.6424,                  1.077,                0.11624,                0.97761,                0.90735,                0.47971,                  1.424,                0.86333,                 1.9374,                0.00604,                0.00604,                0.00604
                     42,                0.67446,                0.90993,                  1.292,                0.04315,                0.89291,                0.35131,                0.24724,                  1.186,                 2.4407,                 1.8887,               0.005941,               0.005941,               0.005941
                     42,                 1.1689,                0.63802,                 1.0809,                0.19034,                0.97015,                0.90392,                0.48793,                  1.438,                0.86442,                 1.9503,               0.005941,               0.005941,               0.005941
                     43,                0.67104,                0.90048,                 1.2881,                0.03416,                 0.9224,                0.35426,                0.26065,                 1.1059,                 2.1941,                 1.8324,               0.005842,               0.005842,               0.005842
                     43,                 1.1682,                0.62878,                 1.0925,                0.11963,                0.95522,                0.85668,                0.46126,                 1.5269,                0.94238,                 2.0126,               0.005842,               0.005842,               0.005842
                     44,                0.66855,                0.91819,                 1.2796,                0.05529,                0.89246,                0.38714,                 0.2861,                 1.0308,                 2.2166,                 1.7396,               0.005743,               0.005743,               0.005743
                     44,                 1.1486,                0.62053,                 1.0734,                0.10706,                0.98507,                0.91787,                0.47183,                 1.5433,                0.82861,                 2.0247,               0.005743,               0.005743,               0.005743
                     45,                0.66527,                 0.8955,                 1.2786,                0.04831,                0.91147,                0.41654,                0.30237,                  1.071,                 2.1673,                   1.78,               0.005644,               0.005644,               0.005644
                     45,                 1.1413,                0.61434,                 1.0736,                0.15081,                0.97015,                0.86914,                0.46028,                 1.4791,                 0.8653,                 1.9915,               0.005644,               0.005644,               0.005644
                     46,                 0.6461,                0.86735,                 1.2709,                0.03459,                0.92848,                0.35378,                0.25885,                 1.0456,                 2.2556,                 1.7767,               0.005545,               0.005545,               0.005545
                     46,                 1.1348,                0.61366,                 1.0558,                0.13458,                0.97015,                0.91621,                0.47052,                 1.4728,                 0.8275,                 1.9793,               0.005545,               0.005545,               0.005545
                     47,                0.66234,                0.88549,                 1.2734,                0.05836,                 0.8723,                 0.3867,                0.28486,                  1.094,                 2.4653,                 1.8026,               0.005446,               0.005446,               0.005446
                     47,                 1.1209,                0.61172,                 1.0601,                0.12611,                0.95522,                0.87612,                0.47291,                 1.4472,                0.85548,                  2.034,               0.005446,               0.005446,               0.005446
                     48,                0.63887,                0.86055,                 1.2542,                0.03465,                0.91232,                0.38214,                0.27648,                 1.0473,                 2.1695,                 1.7764,               0.005347,               0.005347,               0.005347
                     48,                 1.1182,                0.59146,                 1.0497,                0.17154,                0.96269,                 0.9172,                0.48023,                  1.534,                0.83591,                 2.0607,               0.005347,               0.005347,               0.005347
                     49,                0.64187,                 0.8521,                 1.2503,                0.03087,                0.92808,                0.35547,                0.25021,                 1.0483,                 2.3518,                 1.7424,               0.005248,               0.005248,               0.005248
                     49,                 1.1045,                 0.5975,                 1.0528,                 0.1671,                0.97015,                0.89902,                 0.4825,                 1.4667,                0.84017,                 1.9814,               0.005248,               0.005248,               0.005248
                     50,                0.63125,                0.82685,                 1.2454,                0.04437,                0.91351,                0.42063,                0.30691,                 1.0433,                 2.4253,                 1.7595,               0.005149,               0.005149,               0.005149
                     50,                 1.1245,                0.60388,                  1.056,                0.20867,                0.97015,                0.88557,                0.47276,                 1.4835,                0.91043,                 2.0251,               0.005149,               0.005149,               0.005149
                     51,                0.62254,                0.81343,                 1.2378,                 0.0476,                0.91311,                0.41374,                0.30532,                0.98235,                 2.2082,                 1.7409,                0.00505,                0.00505,                0.00505
                     51,                 1.0731,                0.59143,                 1.0518,                 0.1991,                0.98507,                0.90235,                0.48452,                 1.3719,                0.78196,                 1.8806,                0.00505,                0.00505,                0.00505
                     52,                0.61964,                0.81777,                 1.2345,                0.04067,                  0.922,                0.40393,                 0.2981,                 1.0336,                  2.155,                 1.7557,               0.004951,               0.004951,               0.004951
                     52,                 1.1067,                0.59356,                 1.0424,                 0.1133,                0.98507,                 0.9043,                0.47261,                    1.5,                0.86515,                 2.0612,               0.004951,               0.004951,               0.004951
                     53,                0.59248,                0.76284,                 1.2087,                0.04524,                0.91674,                0.42159,                0.29981,                 1.0152,                 2.2858,                  1.711,               0.004852,               0.004852,               0.004852
                     53,                 1.0639,                 0.5721,                 1.0311,                0.22014,                0.96269,                0.91524,                0.47368,                 1.6222,                 0.8231,                 2.2316,               0.004852,               0.004852,               0.004852
                     54,                0.60781,                0.79691,                 1.2204,                0.04805,                0.89896,                0.43545,                0.31568,                 1.0523,                 2.2654,                 1.7524,               0.004753,               0.004753,               0.004753
                     54,                 1.0679,                0.58222,                 1.0426,                0.10481,                0.99254,                0.90396,                0.48008,                 1.4978,                0.80756,                 1.9691,               0.004753,               0.004753,               0.004753
                     55,                0.59709,                0.76381,                 1.2145,                0.04479,                0.88724,                0.37446,                0.26963,                 1.0943,                 2.3011,                 1.8094,               0.004654,               0.004654,               0.004654
                     55,                 1.0629,                0.55783,                 1.0389,                0.17277,                0.98507,                0.91238,                0.48552,                 1.5183,                0.76664,                 2.0107,               0.004654,               0.004654,               0.004654
                     56,                0.58883,                0.76052,                 1.2091,                0.04686,                0.89288,                0.44305,                0.31967,                 1.0815,                 2.0566,                 1.7596,               0.004555,               0.004555,               0.004555
                     56,                 1.0698,                 0.5649,                 1.0346,                0.24399,                0.98507,                 0.9369,                0.49252,                 1.5012,                0.75807,                 2.0596,               0.004555,               0.004555,               0.004555
                     57,                 0.5943,                 0.7631,                 1.2057,                0.05155,                0.89169,                0.39172,                 0.2872,                 1.0663,                 2.3036,                 1.7795,               0.004456,               0.004456,               0.004456
                     57,                 1.0581,                0.56723,                 1.0348,                0.20031,                0.97761,                0.92325,                0.49318,                 1.5116,                0.76882,                 2.1074,               0.004456,               0.004456,               0.004456
                     58,                0.58917,                0.76445,                 1.2109,                0.05615,                0.87915,                0.39599,                0.28928,                 1.1232,                  2.358,                 1.8282,               0.004357,               0.004357,               0.004357
                     58,                  1.036,                0.55983,                 1.0296,                 0.1867,                0.98507,                 0.9391,                0.50688,                 1.4205,                 0.7722,                 1.9387,               0.004357,               0.004357,               0.004357
                     59,                0.58942,                0.75543,                    1.2,                0.04714,                0.88442,                0.36264,                0.26402,                 1.0455,                 2.3823,                 1.7273,               0.004258,               0.004258,               0.004258
                     59,                 1.0512,                0.56558,                 1.0284,                0.18938,                0.98507,                0.94297,                0.50002,                 1.4329,                0.80956,                 1.9994,               0.004258,               0.004258,               0.004258
