                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                0.96385,                 0.5112,                0.99515,                0.22335,                0.98507,                0.92463,                0.49415,                 1.5547,                0.80372,                 2.1344,               0.003169,               0.003169,               0.003169
                     71,                0.55889,                0.65904,                 1.1672,                0.05402,                0.89491,                0.41738,                0.30323,                 1.0181,                  2.211,                 1.7224,                0.00307,                0.00307,                0.00307
                     71,                0.96973,                0.51627,                0.99952,                0.19556,                0.98507,                0.89085,                0.46002,                 1.5338,                0.82984,                  2.099,                0.00307,                0.00307,                0.00307
                     72,                0.54448,                 0.6692,                 1.1575,                0.06989,                0.90465,                0.40418,                0.28996,                 1.0083,                 2.3191,                 1.7009,               0.002971,               0.002971,               0.002971
                     72,                0.95626,                0.50382,                0.99119,                0.25047,                0.98507,                 0.9386,                0.49284,                 1.5602,                0.74028,                 2.1762,               0.002971,               0.002971,               0.002971
                     73,                0.54868,                0.64649,                 1.1555,                0.08141,                0.86373,                0.44444,                0.32481,                0.99182,                 2.1667,                 1.7005,               0.002872,               0.002872,               0.002872
                     73,                0.95455,                0.50733,                0.97652,                0.26531,                0.97015,                0.92087,                0.47277,                 1.5561,                0.85165,                 2.2226,               0.002872,               0.002872,               0.002872
                     74,                0.53788,                0.63875,                 1.1488,                0.06716,                0.89616,                0.46746,                0.33546,                0.99417,                 2.2915,                 1.7003,               0.002773,               0.002773,               0.002773
                     74,                0.94854,                0.50678,                0.99429,                0.20833,                0.97015,                0.91647,                0.45822,                 1.6671,                0.81945,                 2.4203,               0.002773,               0.002773,               0.002773
                     75,                0.52653,                0.61427,                 1.1371,                0.07062,                0.89127,                0.44472,                0.32591,                0.99514,                 1.9639,                 1.7021,               0.002674,               0.002674,               0.002674
                     75,                0.97487,                0.51202,                0.98378,                0.22128,                0.97761,                0.92422,                0.48606,                 1.5419,                0.80702,                 2.1232,               0.002674,               0.002674,               0.002674
                     76,                0.53783,                0.63769,                   1.15,                0.07067,                0.88524,                0.45316,                0.33354,                 1.0761,                 2.0661,                 1.7583,               0.002575,               0.002575,               0.002575
                     76,                0.92363,                0.50197,                0.98761,                0.21582,                0.97761,                0.91303,                0.47297,                 1.6366,                0.76709,                 2.3641,               0.002575,               0.002575,               0.002575
                     77,                0.53931,                0.62776,                 1.1428,                0.06086,                0.85727,                0.39301,                0.27901,                 1.0941,                 2.4821,                 1.7672,               0.002476,               0.002476,               0.002476
